timestamp,node_id,distance,tilt_x,tilt_y,vibration,temperature,humidity,status
2026-01-01T00:02:00,NODE_01,79.48,1.27,1.05,0.166,27.13,68.11,normal
2026-01-01T00:12:00,NODE_01,79.33,1.12,1.18,0.188,27.91,65.23,normal
2026-01-01T00:22:00,NODE_01,79.47,0.82,0.71,0.189,26.87,69.29,normal
2026-01-01T00:32:00,NODE_01,79.8,1.17,0.62,0.131,26.12,68.93,normal
2026-01-01T00:42:00,NODE_01,78.97,1.19,0.69,0.148,26.81,71.79,normal
2026-01-01T00:52:00,NODE_01,79.19,0.85,0.73,0.144,26.62,74.94,normal
2026-01-01T01:02:00,NODE_01,78.85,0.65,1.32,0.136,24.75,65.36,normal
2026-01-01T01:12:00,NODE_01,80.08,1.16,1.24,0.154,26.27,68.86,normal
2026-01-01T01:22:00,NODE_01,79.1,1.08,1.09,0.218,27.49,72.24,normal
2026-01-01T01:32:00,NODE_01,79.67,1.42,0.91,0.282,25.15,73.15,normal
2026-01-01T01:42:00,NODE_01,78.46,1.6,1.46,0.164,24.83,70.37,normal
2026-01-01T01:52:00,NODE_01,78.55,1.92,0.8,0.285,25.91,74.5,normal
2026-01-01T02:02:00,NODE_01,78.77,1.55,1.57,0.278,25.54,72.15,normal
2026-01-01T02:12:00,NODE_01,79.68,1.72,1.5,0.251,26.37,75.21,normal
2026-01-01T02:22:00,NODE_01,78.95,1.56,1.1,0.333,28.17,69.47,normal
2026-01-01T02:32:00,NODE_01,78.54,1.65,1.43,0.242,26.6,73.3,normal
2026-01-01T02:42:00,NODE_01,79.3,1.35,1.48,0.352,27.5,72.47,normal
2026-01-01T02:52:00,NODE_01,78.1,2.16,0.68,0.246,26.15,68.36,normal
2026-01-01T03:02:00,NODE_01,79.98,1.66,0.97,0.417,24.38,63.38,normal
2026-01-01T03:12:00,NODE_01,78.31,1.89,1.38,0.239,25.48,71.86,normal
2026-01-01T03:22:00,NODE_01,77.66,1.17,1.19,0.236,26.74,75.54,normal
2026-01-01T03:32:00,NODE_01,79.32,1.62,1.12,0.26,24.25,74.98,normal
2026-01-01T03:42:00,NODE_01,78.65,1.42,1.3,0.206,26.17,69.31,normal
2026-01-01T03:52:00,NODE_01,79.09,1.82,1.47,0.257,26.6,70.1,normal
2026-01-01T04:02:00,NODE_01,78.79,1.37,0.97,0.204,26.39,70.28,normal
2026-01-01T04:12:00,NODE_01,71.42,5.3,4.9,1.195,25.43,70.66,critical
2026-01-01T04:22:00,NODE_01,71.84,7.5,4.48,0.988,23.16,69.62,critical
2026-01-01T04:32:00,NODE_01,70.52,5.91,3.22,0.888,25.86,72.31,critical
2026-01-01T04:42:00,NODE_01,75.24,5.64,3.51,0.795,27.5,74.82,critical
2026-01-01T04:52:00,NODE_01,74.92,6.96,4.31,0.633,25.82,73.59,critical
2026-01-01T05:02:00,NODE_01,73.62,4.64,5.45,0.975,26.55,70.22,critical
2026-01-01T05:12:00,NODE_01,73.47,7.15,3.44,1.04,28.24,68.9,critical
2026-01-01T05:22:00,NODE_01,70.9,4.6,4.34,1.005,27.98,70.39,critical
2026-01-01T05:32:00,NODE_01,73.83,4.16,4.72,1.009,25.51,67.74,critical
2026-01-01T05:42:00,NODE_01,74.68,6.17,3.21,0.615,25.87,72.55,critical
2026-01-01T05:52:00,NODE_01,73.27,6.35,5.03,0.689,29.1,74.13,warning
2026-01-01T06:02:00,NODE_01,72.86,4.36,3.83,0.69,26.94,69.76,warning
2026-01-01T06:12:00,NODE_01,75.33,4.81,2.84,0.709,25.26,66.51,warning
2026-01-01T06:22:00,NODE_01,73.75,6.18,4.38,0.521,26.57,76.29,warning
2026-01-01T06:32:00,NODE_01,72.97,4.35,3.73,0.615,27.63,67.47,warning
2026-01-01T06:42:00,NODE_01,75.2,3.87,3.19,0.756,29.32,69.38,warning
2026-01-01T06:52:00,NODE_01,75.85,5.16,3.49,0.611,26.61,68.49,warning
2026-01-01T07:02:00,NODE_01,74.62,3.02,3.44,0.723,25.51,74.43,warning
2026-01-01T07:12:00,NODE_01,75.45,3.54,2.7,0.475,27.36,66.9,warning
2026-01-01T07:22:00,NODE_01,74.23,3.87,3.42,0.672,25.83,73.63,warning
2026-01-01T07:32:00,NODE_01,75.66,3.81,2.82,0.473,27.52,69.35,warning
2026-01-01T07:42:00,NODE_01,74.5,3.61,3.02,0.521,26.78,65.44,warning
2026-01-01T07:52:00,NODE_01,74.13,4.21,2.37,0.606,25.63,69.44,warning
2026-01-01T08:02:00,NODE_01,76.69,4.29,2.15,0.422,26.65,66.1,warning
2026-01-01T08:12:00,NODE_01,78.09,4.13,1.94,0.558,26.31,63.35,warning
2026-01-01T08:22:00,NODE_01,77.31,2.76,2.38,0.556,26.92,76.13,warning
2026-01-01T08:32:00,NODE_01,76.14,2.83,2.15,0.395,26.21,71.41,warning
2026-01-01T08:42:00,NODE_01,77.19,3.99,1.59,0.451,27.07,72.7,warning
2026-01-01T08:52:00,NODE_01,75.83,3.94,1.84,0.421,26.25,72.66,warning
2026-01-01T09:02:00,NODE_01,76.47,3.5,2.7,0.488,26.91,71.1,warning
2026-01-01T09:12:00,NODE_01,76.91,2.99,1.79,0.42,24.52,65.94,warning
2026-01-01T09:22:00,NODE_01,76.94,2.46,2.21,0.298,26.15,68.54,warning
2026-01-01T09:32:00,NODE_01,76.54,2.16,1.84,0.403,25.76,67.79,normal
2026-01-01T09:42:00,NODE_01,77.5,2.06,1.18,0.427,24.49,68.72,normal
2026-01-01T09:52:00,NODE_01,77.54,1.66,0.96,0.36,23.44,76.36,normal
2026-01-01T10:02:00,NODE_01,77.87,2.55,1.64,0.298,26.54,68.65,normal
2026-01-01T10:12:00,NODE_01,78.73,1.66,2.43,0.291,25.69,71.34,normal
2026-01-01T10:22:00,NODE_01,77.33,2.49,1.3,0.305,26.2,75.67,normal
2026-01-01T10:32:00,NODE_01,78.23,2.65,1.97,0.311,25.39,68.73,normal
2026-01-01T10:42:00,NODE_01,78.35,2.07,0.99,0.357,24.91,69.68,normal
2026-01-01T10:52:00,NODE_01,78.37,2.17,1.51,0.333,26.54,71.39,normal
2026-01-01T11:02:00,NODE_01,78.3,1.35,1.88,0.301,24.15,73.15,normal
2026-01-01T11:12:00,NODE_01,79.36,1.64,0.85,0.225,25.68,72.04,normal
2026-01-01T11:22:00,NODE_01,78.87,1.5,1.23,0.364,23.72,70.25,normal
2026-01-01T11:32:00,NODE_01,78.67,2.22,0.98,0.352,27.04,72.49,normal
2026-01-01T11:42:00,NODE_01,76.99,2.6,1.07,0.317,26.35,70.18,normal
2026-01-01T11:52:00,NODE_01,78.43,1.71,1.49,0.223,24.67,72.19,normal
2026-01-01T12:02:00,NODE_01,77.98,1.58,1.47,0.33,24.48,66.83,normal
